,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
3606,O=C(O)[C@@H]1C[C@@H](O)CN1,C1COCCO1,PMMYEEVYMWASQN-DMTCNVIQSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-3.070581074285707,298.15
3607,O=C(O)[C@@H]1C[C@@H](O)CN1,CC#N,PMMYEEVYMWASQN-DMTCNVIQSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-3.987162775294828,298.15
3608,O=C(O)[C@@H]1C[C@@H](O)CN1,CC(C)=O,PMMYEEVYMWASQN-DMTCNVIQSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-2.7859513205880586,298.15
3609,O=C(O)[C@@H]1C[C@@H](O)CN1,CC(C)CO,PMMYEEVYMWASQN-DMTCNVIQSA-N,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,-3.946921556516581,298.15
3610,O=C(O)[C@@H]1C[C@@H](O)CN1,CC(C)O,PMMYEEVYMWASQN-DMTCNVIQSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-3.924453038607469,298.15
3611,O=C(O)[C@@H]1C[C@@H](O)CN1,CCC(C)=O,PMMYEEVYMWASQN-DMTCNVIQSA-N,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,-3.721246399047171,298.15
3612,O=C(O)[C@@H]1C[C@@H](O)CN1,CCC(C)O,PMMYEEVYMWASQN-DMTCNVIQSA-N,BTANRVKWQNVYAZ-UHFFFAOYSA-N,-3.889410289700751,298.15
3613,O=C(O)[C@@H]1C[C@@H](O)CN1,CCCCCO,PMMYEEVYMWASQN-DMTCNVIQSA-N,AMQJEAYHLZJPGS-UHFFFAOYSA-N,-3.8477116556169433,298.15
3614,O=C(O)[C@@H]1C[C@@H](O)CN1,CCCCO,PMMYEEVYMWASQN-DMTCNVIQSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-3.8477116556169433,298.15
3615,O=C(O)[C@@H]1C[C@@H](O)CN1,CCCO,PMMYEEVYMWASQN-DMTCNVIQSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-3.812479279163537,298.15
3616,O=C(O)[C@@H]1C[C@@H](O)CN1,CCO,PMMYEEVYMWASQN-DMTCNVIQSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-3.72584215073632,298.15
3617,O=C(O)[C@@H]1C[C@@H](O)CN1,CCOC(C)=O,PMMYEEVYMWASQN-DMTCNVIQSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-2.96738123914928,298.15
3618,O=C(O)[C@@H]1C[C@@H](O)CN1,CO,PMMYEEVYMWASQN-DMTCNVIQSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-3.673664139071248,298.15
3619,O=C(O)[C@@H]1C[C@@H](O)CN1,COC(C)=O,PMMYEEVYMWASQN-DMTCNVIQSA-N,KXKVLQRXCPHEJC-UHFFFAOYSA-N,-3.9355420107730814,298.15
3620,O=C(O)[C@@H]1C[C@@H](O)CN1,ClCCl,PMMYEEVYMWASQN-DMTCNVIQSA-N,YMWUJEATGCHHMB-UHFFFAOYSA-N,-3.385102783966865,298.15
