,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
1020,CCOc1ccccc1C(N)=O,C1COCCO1,SBNKFTQSBPKMBZ-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-1.7563915390406435,298.15
1021,CCOc1ccccc1C(N)=O,CC#N,SBNKFTQSBPKMBZ-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-1.99439055463972,298.15
1022,CCOc1ccccc1C(N)=O,CC(C)=O,SBNKFTQSBPKMBZ-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-1.7356781222369944,298.15
1023,CCOc1ccccc1C(N)=O,CC(C)CO,SBNKFTQSBPKMBZ-UHFFFAOYSA-N,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,-1.9006647223140425,298.15
1024,CCOc1ccccc1C(N)=O,CC(C)O,SBNKFTQSBPKMBZ-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-2.038151940981676,298.15
1025,CCOc1ccccc1C(N)=O,CCC(C)=O,SBNKFTQSBPKMBZ-UHFFFAOYSA-N,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,-1.7479483625934835,298.15
1026,CCOc1ccccc1C(N)=O,CCC(C)O,SBNKFTQSBPKMBZ-UHFFFAOYSA-N,BTANRVKWQNVYAZ-UHFFFAOYSA-N,-1.9334132035293052,298.15
1027,CCOc1ccccc1C(N)=O,CCCCCO,SBNKFTQSBPKMBZ-UHFFFAOYSA-N,AMQJEAYHLZJPGS-UHFFFAOYSA-N,-1.88193377828599,298.15
1028,CCOc1ccccc1C(N)=O,CCCCO,SBNKFTQSBPKMBZ-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-1.9144240302814963,298.15
1029,CCOc1ccccc1C(N)=O,CCCCOC(C)=O,SBNKFTQSBPKMBZ-UHFFFAOYSA-N,DKPFZGUDAPQIHT-UHFFFAOYSA-N,-2.152119002554625,298.15
1030,CCOc1ccccc1C(N)=O,CCCO,SBNKFTQSBPKMBZ-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-1.8471004036062528,298.15
1031,CCOc1ccccc1C(N)=O,CCCOC(C)=O,SBNKFTQSBPKMBZ-UHFFFAOYSA-N,YKYONYBAUNKHLG-UHFFFAOYSA-N,-2.086133188103761,298.15
1032,CCOc1ccccc1C(N)=O,CCO,SBNKFTQSBPKMBZ-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-1.7677664788852665,298.15
1033,CCOc1ccccc1C(N)=O,CCOC(C)=O,SBNKFTQSBPKMBZ-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-2.1944991418416,298.15
1034,CCOc1ccccc1C(N)=O,CCOC=O,SBNKFTQSBPKMBZ-UHFFFAOYSA-N,WBJINCZRORDGAQ-UHFFFAOYSA-N,-1.9128577206161923,298.15
1035,CCOc1ccccc1C(N)=O,CN(C)C=O,SBNKFTQSBPKMBZ-UHFFFAOYSA-N,ZMXDDKWLCZADIW-UHFFFAOYSA-N,-1.184927229864028,298.15
1036,CCOc1ccccc1C(N)=O,CO,SBNKFTQSBPKMBZ-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-1.64762450499948,298.15
1037,CCOc1ccccc1C(N)=O,COC(C)=O,SBNKFTQSBPKMBZ-UHFFFAOYSA-N,KXKVLQRXCPHEJC-UHFFFAOYSA-N,-1.9444687749491016,298.15
