,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
3500,O=C(O)COc1ccc(Cl)cc1,C1COCCO1,SODPIMGUZLOIPE-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-0.8696662315049939,298.15
3501,O=C(O)COc1ccc(Cl)cc1,CC#N,SODPIMGUZLOIPE-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-1.873543886568196,298.15
3502,O=C(O)COc1ccc(Cl)cc1,CC(C)CO,SODPIMGUZLOIPE-UHFFFAOYSA-N,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,-1.543026986364182,298.15
3503,O=C(O)COc1ccc(Cl)cc1,CC(C)O,SODPIMGUZLOIPE-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-1.408935392973501,298.15
3504,O=C(O)COc1ccc(Cl)cc1,CCC(C)O,SODPIMGUZLOIPE-UHFFFAOYSA-N,BTANRVKWQNVYAZ-UHFFFAOYSA-N,-1.384576047114056,298.15
3505,O=C(O)COc1ccc(Cl)cc1,CCCCO,SODPIMGUZLOIPE-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-1.382056565171027,298.15
3506,O=C(O)COc1ccc(Cl)cc1,CCCCOC(C)=O,SODPIMGUZLOIPE-UHFFFAOYSA-N,DKPFZGUDAPQIHT-UHFFFAOYSA-N,-1.4759935544426277,298.15
3507,O=C(O)COc1ccc(Cl)cc1,CCCO,SODPIMGUZLOIPE-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-1.382056565171027,298.15
3508,O=C(O)COc1ccc(Cl)cc1,CCCOC(C)=O,SODPIMGUZLOIPE-UHFFFAOYSA-N,YKYONYBAUNKHLG-UHFFFAOYSA-N,-1.4563043676907552,298.15
3509,O=C(O)COc1ccc(Cl)cc1,CCO,SODPIMGUZLOIPE-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-1.3256901110585229,298.15
3510,O=C(O)COc1ccc(Cl)cc1,CCOC(C)=O,SODPIMGUZLOIPE-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-1.3840499483435988,298.15
3511,O=C(O)COc1ccc(Cl)cc1,CCOC=O,SODPIMGUZLOIPE-UHFFFAOYSA-N,WBJINCZRORDGAQ-UHFFFAOYSA-N,-1.6524748400013105,298.15
3512,O=C(O)COc1ccc(Cl)cc1,COC(C)=O,SODPIMGUZLOIPE-UHFFFAOYSA-N,KXKVLQRXCPHEJC-UHFFFAOYSA-N,-1.3633115520467172,298.15
