,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
1470,COC(=O)c1ccc(C(=O)OC)cc1,CC#N,WOZVHXUHUFLZGK-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-2.0917929680469443,295.78999999999996
1471,COC(=O)c1ccc(C(=O)OC)cc1,CC(=O)OC(C)C,WOZVHXUHUFLZGK-UHFFFAOYSA-N,JMMWKPVZQRWMSS-UHFFFAOYSA-N,-1.7433183264908176,298.14
1472,COC(=O)c1ccc(C(=O)OC)cc1,CC(C)=O,WOZVHXUHUFLZGK-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-1.8041944088104045,298.15
1473,COC(=O)c1ccc(C(=O)OC)cc1,CC(C)CO,WOZVHXUHUFLZGK-UHFFFAOYSA-N,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,-2.6672217898381776,295.80499999999995
1474,COC(=O)c1ccc(C(=O)OC)cc1,CC(C)O,WOZVHXUHUFLZGK-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-2.7310715709155096,295.845
1476,COC(=O)c1ccc(C(=O)OC)cc1,CCC(C)=O,WOZVHXUHUFLZGK-UHFFFAOYSA-N,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,-1.723625523073241,298.15
1478,COC(=O)c1ccc(C(=O)OC)cc1,CCCCO,WOZVHXUHUFLZGK-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-2.6180829083092805,296.1
1479,COC(=O)c1ccc(C(=O)OC)cc1,CCCCOC(C)=O,WOZVHXUHUFLZGK-UHFFFAOYSA-N,DKPFZGUDAPQIHT-UHFFFAOYSA-N,-1.6529134591002363,300.605
1480,COC(=O)c1ccc(C(=O)OC)cc1,CCCO,WOZVHXUHUFLZGK-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-2.7653172804710793,298.12000000000006
1481,COC(=O)c1ccc(C(=O)OC)cc1,CCCOC(C)=O,WOZVHXUHUFLZGK-UHFFFAOYSA-N,YKYONYBAUNKHLG-UHFFFAOYSA-N,-1.7200492824488525,295.765
1482,COC(=O)c1ccc(C(=O)OC)cc1,CCO,WOZVHXUHUFLZGK-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-2.6704412114083755,298.17
1483,COC(=O)c1ccc(C(=O)OC)cc1,CCOC(C)=O,WOZVHXUHUFLZGK-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-1.6337532022281773,300.51
1484,COC(=O)c1ccc(C(=O)OC)cc1,CO,WOZVHXUHUFLZGK-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-2.783095501478327,298.19
1485,COC(=O)c1ccc(C(=O)OC)cc1,ClC(Cl)Cl,WOZVHXUHUFLZGK-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,-1.0701569701165654,295.755
1486,COC(=O)c1ccc(C(=O)OC)cc1,O=C1CCCCC1,WOZVHXUHUFLZGK-UHFFFAOYSA-N,JHIVVAPYMSGYDF-UHFFFAOYSA-N,-1.6532882450675697,298.16
