,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
121,C=CC(=O)NC(C)(C)CS(=O)(=O)O,C1CCCCC1,XHZPRMZZQOIPDS-UHFFFAOYSA-N,XDTMQSROBMDMFD-UHFFFAOYSA-N,-3.856672870007954,298.15
122,C=CC(=O)NC(C)(C)CS(=O)(=O)O,C1COCCO1,XHZPRMZZQOIPDS-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-3.5624079677460387,298.15
123,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CC#N,XHZPRMZZQOIPDS-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-3.813043664534588,298.15
124,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CC(C)=O,XHZPRMZZQOIPDS-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-2.0359290294420447,298.15
125,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CC(C)CO,XHZPRMZZQOIPDS-UHFFFAOYSA-N,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,-2.4040630937308265,298.15
126,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CC(C)O,XHZPRMZZQOIPDS-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-3.0546299055096964,298.15
127,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCCCCCCO,XHZPRMZZQOIPDS-UHFFFAOYSA-N,BBMCTIGTTCKYKF-UHFFFAOYSA-N,-2.304781081094849,298.15
128,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCCCO,XHZPRMZZQOIPDS-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-2.2597952644925505,298.15
129,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCCO,XHZPRMZZQOIPDS-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-2.1899692135941606,298.15
130,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCO,XHZPRMZZQOIPDS-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-1.99012436628784,298.15
131,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCOC(C)=O,XHZPRMZZQOIPDS-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-2.5813673126459347,298.15
132,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CO,XHZPRMZZQOIPDS-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-1.8616973018337184,298.15
133,C=CC(=O)NC(C)(C)CS(=O)(=O)O,Cc1ccccc1,XHZPRMZZQOIPDS-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,-1.3521282346937675,298.15
134,C=CC(=O)NC(C)(C)CS(=O)(=O)O,OCCO,XHZPRMZZQOIPDS-UHFFFAOYSA-N,LYCAIKOWRPUZTN-UHFFFAOYSA-N,-2.789413975094844,298.15
