,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
4008,O=C1NC(=O)c2ccccc21,CC#N,XKJCHHZQLQNZHY-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-2.519214617604773,297.9833333333333
4009,O=C1NC(=O)c2ccccc21,CC(C)=O,XKJCHHZQLQNZHY-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-1.8939936574778384,297.9833333333333
4010,O=C1NC(=O)c2ccccc21,CC(C)CO,XKJCHHZQLQNZHY-UHFFFAOYSA-N,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,-2.6185118814356225,297.9833333333333
4011,O=C1NC(=O)c2ccccc21,CC(C)O,XKJCHHZQLQNZHY-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-2.525005292540538,297.9833333333333
4012,O=C1NC(=O)c2ccccc21,CCCCO,XKJCHHZQLQNZHY-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-2.5441142042616005,297.9833333333333
4013,O=C1NC(=O)c2ccccc21,CCCO,XKJCHHZQLQNZHY-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-2.5822120028012567,297.9833333333333
4014,O=C1NC(=O)c2ccccc21,CCO,XKJCHHZQLQNZHY-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-2.624476833778789,297.9833333333333
4015,O=C1NC(=O)c2ccccc21,CCOC(C)=O,XKJCHHZQLQNZHY-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-2.1281132960475753,297.9833333333333
4016,O=C1NC(=O)c2ccccc21,CO,XKJCHHZQLQNZHY-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-2.5843140230369,297.9833333333333
4017,O=C1NC(=O)c2ccccc21,Cc1ccccc1,XKJCHHZQLQNZHY-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,-3.2443846004541155,297.9833333333333
