,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
4779,Sc1nc2ccccc2[nH]1,C1CCCCC1,YHMYGUUIMTVXNW-UHFFFAOYSA-N,XDTMQSROBMDMFD-UHFFFAOYSA-N,-4.935542010773082,298.15
4780,Sc1nc2ccccc2[nH]1,C1COCCO1,YHMYGUUIMTVXNW-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-1.7108571640676669,298.15
4781,Sc1nc2ccccc2[nH]1,CC#N,YHMYGUUIMTVXNW-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-2.7878123955960423,298.15
4782,Sc1nc2ccccc2[nH]1,CC(C)=O,YHMYGUUIMTVXNW-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-1.8178707859470016,298.15
4783,Sc1nc2ccccc2[nH]1,CC(C)O,YHMYGUUIMTVXNW-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-2.1220530483708115,298.15
4784,Sc1nc2ccccc2[nH]1,CCC(C)=O,YHMYGUUIMTVXNW-UHFFFAOYSA-N,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,-1.8768019249680008,298.15
4785,Sc1nc2ccccc2[nH]1,CCCCO,YHMYGUUIMTVXNW-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-2.092051478387728,298.15
4786,Sc1nc2ccccc2[nH]1,CCCO,YHMYGUUIMTVXNW-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-2.059483515067433,298.15
4787,Sc1nc2ccccc2[nH]1,CCO,YHMYGUUIMTVXNW-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-2.000869458712629,298.15
4788,Sc1nc2ccccc2[nH]1,CCOC(C)=O,YHMYGUUIMTVXNW-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-2.436518914605589,298.15
4789,Sc1nc2ccccc2[nH]1,CO,YHMYGUUIMTVXNW-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-1.9621752494116584,298.15
4790,Sc1nc2ccccc2[nH]1,Cc1ccccc1,YHMYGUUIMTVXNW-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,-4.275724130399211,298.15
