,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
4768,S=c1[nH]c2ccccc2s1,C1COCCO1,YXIWHUQXZSMYRE-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-1.2131446890926874,298.15
4769,S=c1[nH]c2ccccc2s1,CC#N,YXIWHUQXZSMYRE-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-2.0208632481691846,298.15
4770,S=c1[nH]c2ccccc2s1,CC(C)CO,YXIWHUQXZSMYRE-UHFFFAOYSA-N,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,-1.6342876911875572,298.15
4771,S=c1[nH]c2ccccc2s1,CC(C)O,YXIWHUQXZSMYRE-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-1.6497686873891537,298.15
4772,S=c1[nH]c2ccccc2s1,CCC(C)=O,YXIWHUQXZSMYRE-UHFFFAOYSA-N,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,-1.0013335082046426,298.15
4773,S=c1[nH]c2ccccc2s1,CCCCO,YXIWHUQXZSMYRE-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-1.4563500889314493,298.15
4774,S=c1[nH]c2ccccc2s1,CCCO,YXIWHUQXZSMYRE-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-1.5597869025347346,298.15
4775,S=c1[nH]c2ccccc2s1,CCOC(C)=O,YXIWHUQXZSMYRE-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-1.3941358990812767,298.15
4776,S=c1[nH]c2ccccc2s1,CO,YXIWHUQXZSMYRE-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-1.7834093481015856,298.15
4777,S=c1[nH]c2ccccc2s1,Cc1ccccc1,YXIWHUQXZSMYRE-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,-2.4220448394155607,298.15
4778,S=c1[nH]c2ccccc2s1,ClC(Cl)Cl,YXIWHUQXZSMYRE-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,-1.9170209243958425,298.15
