,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
2753,NC(=O)c1ccc([N+](=O)[O-])cc1,CC#N,ZESWUEBPRPGMTP-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-2.8989406450918844,298.15
2754,NC(=O)c1ccc([N+](=O)[O-])cc1,CC(C)CO,ZESWUEBPRPGMTP-UHFFFAOYSA-N,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,-2.825358807339552,298.15
2755,NC(=O)c1ccc([N+](=O)[O-])cc1,CC(C)O,ZESWUEBPRPGMTP-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-2.637706062035769,298.15
2756,NC(=O)c1ccc([N+](=O)[O-])cc1,CCCCO,ZESWUEBPRPGMTP-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-3.0422969584511685,298.15
2757,NC(=O)c1ccc([N+](=O)[O-])cc1,CCCO,ZESWUEBPRPGMTP-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-2.72399801003795,298.15
2758,NC(=O)c1ccc([N+](=O)[O-])cc1,CCO,ZESWUEBPRPGMTP-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-2.5424208530042374,298.15
2759,NC(=O)c1ccc([N+](=O)[O-])cc1,CCOC(C)=O,ZESWUEBPRPGMTP-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-2.424696666577601,298.15
2760,NC(=O)c1ccc([N+](=O)[O-])cc1,CN(C)C=O,ZESWUEBPRPGMTP-UHFFFAOYSA-N,ZMXDDKWLCZADIW-UHFFFAOYSA-N,-1.2392760278580484,298.15
2761,NC(=O)c1ccc([N+](=O)[O-])cc1,CN1CCCC1=O,ZESWUEBPRPGMTP-UHFFFAOYSA-N,SECXISVLQFMRJM-UHFFFAOYSA-N,-1.1853529305481438,298.15
2762,NC(=O)c1ccc([N+](=O)[O-])cc1,CS(C)=O,ZESWUEBPRPGMTP-UHFFFAOYSA-N,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,-1.37202001017002,298.15
2763,NC(=O)c1ccc([N+](=O)[O-])cc1,OCCO,ZESWUEBPRPGMTP-UHFFFAOYSA-N,LYCAIKOWRPUZTN-UHFFFAOYSA-N,-2.2220659511622207,298.15
