Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
1.124886709,O,CCO,XLYOFNOQVPJJNP-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
1.089289003,O,CO,XLYOFNOQVPJJNP-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N
1.043480903,O,C(CO)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,LYCAIKOWRPUZTN-UHFFFAOYSA-N
1.009942107,O,CCOCCO,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ZNQVEEAIQZEUHB-UHFFFAOYSA-N
0.941803045,O,CCCO,XLYOFNOQVPJJNP-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N
0.940420563,O,COCCO,XLYOFNOQVPJJNP-UHFFFAOYSA-N,XNWFRZJHXBZDAG-UHFFFAOYSA-N
0.898089328,O,CC(CO)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,DNIAPMSPPWPWGF-UHFFFAOYSA-N
0.82285752,O,CC(C)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N
0.793551829,O,CN(C)C=O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ZMXDDKWLCZADIW-UHFFFAOYSA-N
0.781431122,O,CC(=O)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N
0.766376988,O,C1COCCO1,XLYOFNOQVPJJNP-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N
0.756136682,O,CN1CCCC1=O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,SECXISVLQFMRJM-UHFFFAOYSA-N
0.672139253,O,CC(=O)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,QTBSBXVTEAMEQO-UHFFFAOYSA-N
0.619907149,O,CC#N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N
0.55310628,O,CC(=O)N(C)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,FXHOOIRPVKKKFG-UHFFFAOYSA-N
0.370403121,O,CCOC=O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,WBJINCZRORDGAQ-UHFFFAOYSA-N
0.34956749,O,CC(=O)OC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,KXKVLQRXCPHEJC-UHFFFAOYSA-N
0.34611036,O,C1CCOC1,XLYOFNOQVPJJNP-UHFFFAOYSA-N,WYURNTSHIVDZCO-UHFFFAOYSA-N
0.211766803,O,CCC(C)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,BTANRVKWQNVYAZ-UHFFFAOYSA-N
0.202752836,O,CC(C)CO,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N
0.191121598,O,CS(=O)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,IAZDPXIOMUYVGZ-UHFFFAOYSA-N
0.108709391,O,CCC(=O)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ZWEHNKRNPOVVGH-UHFFFAOYSA-N
0.068266072,O,CCCCO,XLYOFNOQVPJJNP-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N
0.022867133,O,CCOC(=O)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N
