Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-0.942974579,CCCCCO,C1=CC=C(C=C1)C=O,AMQJEAYHLZJPGS-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.901931134,CCCCCCCO,C1=CC=C(C=C1)C=O,BBMCTIGTTCKYKF-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.998983697,CCCO,C1=CC=C(C=C1)C=O,BDERNNFJNOPAEC-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-1.087631733,CCC(C)O,C1=CC=C(C=C1)C=O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-1.262993548,COC(C)(C)C,C1=CC=C(C=C1)C=O,BZLVMXJERCGZMT-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.929714096,CC(C)=O,C1=CC=C(C=C1)C=O,CSCPPACGZOOCGX-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.966492528,CCCCOC(C)=O,C1=CC=C(C=C1)C=O,DKPFZGUDAPQIHT-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.999368299,CC(O)CO,C1=CC=C(C=C1)C=O,DNIAPMSPPWPWGF-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.454396978,CC(=O)N(C)C,C1=CC=C(C=C1)C=O,FXHOOIRPVKKKFG-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.75685929,ClC(Cl)Cl,C1=CC=C(C=C1)C=O,HEDRZPFGACZZDS-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.678980708,CS(C)=O,C1=CC=C(C=C1)C=O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-1.684379551,CCCCCCC,C1=CC=C(C=C1)C=O,IMNFDUFMRHMDMM-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.752518681,O=C1CCCCC1,C1=CC=C(C=C1)C=O,JHIVVAPYMSGYDF-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-1.010855114,CC(=O)OC(C)C,C1=CC=C(C=C1)C=O,JMMWKPVZQRWMSS-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.751244189,CCCCCCCCO,C1=CC=C(C=C1)C=O,KBPLFHHGFOOTCA-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-1.004719398,CC(C)O,C1=CC=C(C=C1)C=O,KFZMGEQAYNKOFK-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.831026771,COC(C)=O,C1=CC=C(C=C1)C=O,KXKVLQRXCPHEJC-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.966821323,CCO,C1=CC=C(C=C1)C=O,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.936565578,CCCCO,C1=CC=C(C=C1)C=O,LRHPLDYGYMQRHN-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-1.081418561,OCCO,C1=CC=C(C=C1)C=O,LYCAIKOWRPUZTN-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.77615892,Clc1ccccc1,C1=CC=C(C=C1)C=O,MVPPADPHJFYWMZ-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.690486775,CO,C1=CC=C(C=C1)C=O,OKKJLVBELUTLKV-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-1.018551254,CC(C)CCO,C1=CC=C(C=C1)C=O,PHTQWCKDNZKARW-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.680037336,CC(=O)O,C1=CC=C(C=C1)C=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-1.264223907,CCOCC,C1=CC=C(C=C1)C=O,RTZKZFJDLAIYFH-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.705155327,C1COCCO1,C1=CC=C(C=C1)C=O,RYHBNJHYFVUHQT-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.592305869,CN1CCCC1=O,C1=CC=C(C=C1)C=O,SECXISVLQFMRJM-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-1.153640886,c1ccccc1,C1=CC=C(C=C1)C=O,UHOVQNZJYSORNB-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-1.650728892,CCCCCC,C1=CC=C(C=C1)C=O,VLKZOEOYAKHREP-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.748112792,ClC(Cl)(Cl)Cl,C1=CC=C(C=C1)C=O,VZGDMQKNWNREIO-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.972059041,CCOC=O,C1=CC=C(C=C1)C=O,WBJINCZRORDGAQ-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.903119517,CC#N,C1=CC=C(C=C1)C=O,WEVYAHXRMPXWCK-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.825837605,ClCCCl,C1=CC=C(C=C1)C=O,WSLDOOZREJYCGB-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.869160889,C1CCOC1,C1=CC=C(C=C1)C=O,WYURNTSHIVDZCO-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-1.818435935,C1CCCCC1,C1=CC=C(C=C1)C=O,XDTMQSROBMDMFD-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.933807412,CCOC(C)=O,C1=CC=C(C=C1)C=O,XEKOWRVHYACXOJ-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.776001105,COCCO,C1=CC=C(C=C1)C=O,XNWFRZJHXBZDAG-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.950698811,CCCOC(C)=O,C1=CC=C(C=C1)C=O,YKYONYBAUNKHLG-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.969713089,ClCCl,C1=CC=C(C=C1)C=O,YMWUJEATGCHHMB-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
