Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-0.790660666,CCCCCO,CC1=CCC(CC1)C(=C)C,AMQJEAYHLZJPGS-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.563212156,CCCCCCCO,CC1=CCC(CC1)C(=C)C,BBMCTIGTTCKYKF-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.976431497,CCCO,CC1=CCC(CC1)C(=C)C,BDERNNFJNOPAEC-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.922396465,CCC(C)O,CC1=CCC(CC1)C(=C)C,BTANRVKWQNVYAZ-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-1.12087156,COC(C)(C)C,CC1=CCC(CC1)C(=C)C,BZLVMXJERCGZMT-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.877054326,CC(C)=O,CC1=CCC(CC1)C(=C)C,CSCPPACGZOOCGX-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.753872968,CCCCOC(C)=O,CC1=CCC(CC1)C(=C)C,DKPFZGUDAPQIHT-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-1.182845131,CC(O)CO,CC1=CCC(CC1)C(=C)C,DNIAPMSPPWPWGF-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.80546831,CC(=O)N(C)C,CC1=CCC(CC1)C(=C)C,FXHOOIRPVKKKFG-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.528243632,ClC(Cl)Cl,CC1=CCC(CC1)C(=C)C,HEDRZPFGACZZDS-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-1.256180477,CS(C)=O,CC1=CCC(CC1)C(=C)C,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.766869787,CCCCCCC,CC1=CCC(CC1)C(=C)C,IMNFDUFMRHMDMM-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.62725418,O=C1CCCCC1,CC1=CCC(CC1)C(=C)C,JHIVVAPYMSGYDF-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.898293369,CC(=O)OC(C)C,CC1=CCC(CC1)C(=C)C,JMMWKPVZQRWMSS-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.454160298,CCCCCCCCO,CC1=CCC(CC1)C(=C)C,KBPLFHHGFOOTCA-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-1.100768684,CC(C)O,CC1=CCC(CC1)C(=C)C,KFZMGEQAYNKOFK-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.804513888,COC(C)=O,CC1=CCC(CC1)C(=C)C,KXKVLQRXCPHEJC-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-1.014701734,CCO,CC1=CCC(CC1)C(=C)C,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.903546686,CCCCO,CC1=CCC(CC1)C(=C)C,LRHPLDYGYMQRHN-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-1.667669247,OCCO,CC1=CCC(CC1)C(=C)C,LYCAIKOWRPUZTN-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.616590401,Clc1ccccc1,CC1=CCC(CC1)C(=C)C,MVPPADPHJFYWMZ-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-1.47097315,CO,CC1=CCC(CC1)C(=C)C,OKKJLVBELUTLKV-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.822424563,CC(C)CCO,CC1=CCC(CC1)C(=C)C,PHTQWCKDNZKARW-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-1.094717404,CC(=O)O,CC1=CCC(CC1)C(=C)C,QTBSBXVTEAMEQO-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.957946203,CCOCC,CC1=CCC(CC1)C(=C)C,RTZKZFJDLAIYFH-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-1.010793078,C1COCCO1,CC1=CCC(CC1)C(=C)C,RYHBNJHYFVUHQT-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.829314677,CN1CCCC1=O,CC1=CCC(CC1)C(=C)C,SECXISVLQFMRJM-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.903662403,c1ccccc1,CC1=CCC(CC1)C(=C)C,UHOVQNZJYSORNB-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.771380718,CCCCCC,CC1=CCC(CC1)C(=C)C,VLKZOEOYAKHREP-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.374605944,ClC(Cl)(Cl)Cl,CC1=CCC(CC1)C(=C)C,VZGDMQKNWNREIO-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.964361331,CCOC=O,CC1=CCC(CC1)C(=C)C,WBJINCZRORDGAQ-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-1.329343765,CC#N,CC1=CCC(CC1)C(=C)C,WEVYAHXRMPXWCK-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.965338568,ClCCCl,CC1=CCC(CC1)C(=C)C,WSLDOOZREJYCGB-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.759994015,C1CCOC1,CC1=CCC(CC1)C(=C)C,WYURNTSHIVDZCO-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-1.021274454,C1CCCCC1,CC1=CCC(CC1)C(=C)C,XDTMQSROBMDMFD-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.683677097,CCOC(C)=O,CC1=CCC(CC1)C(=C)C,XEKOWRVHYACXOJ-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-1.211053261,COCCO,CC1=CCC(CC1)C(=C)C,XNWFRZJHXBZDAG-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.83658993,CCCOC(C)=O,CC1=CCC(CC1)C(=C)C,YKYONYBAUNKHLG-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.802022114,ClCCl,CC1=CCC(CC1)C(=C)C,YMWUJEATGCHHMB-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.669541368,CCc1ccccc1,CC1=CCC(CC1)C(=C)C,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-0.602203256,Cc1ccccc1,CC1=CCC(CC1)C(=C)C,YXFVVABEGXRONW-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
-1.085355256,CN(C)C=O,CC1=CCC(CC1)C(=C)C,ZMXDDKWLCZADIW-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N
