InChIKey,Feature_Type,Kendall_Distance,RMSE
BUNFNRVLMKHKIT-UHFFFAOYSA-N,GC-MACCS,0.22,0.806
OFCNXPDARWKPPY-UHFFFAOYSA-N,GC-MACCS,0.407,1.312
YXIWHUQXZSMYRE-UHFFFAOYSA-N,GC-MACCS,0.218,0.702
JFNUMGDTFPLKIU-UHFFFAOYSA-N,GC-MACCS,0.255,0.575
NTAZOPPTLZSXQH-UHFFFAOYSA-N,GC-MACCS,0.576,0.803
BEJNERDRQOWKJM-UHFFFAOYSA-N,GC-MACCS,0.397,1.183
HPHUVLMMVZITSG-LURJTMIESA-N,GC-MACCS,0.156,0.794
NJYZCEFQAIUHSD-UHFFFAOYSA-N,GC-MACCS,0.491,0.718
WNAJXPYVTFYEST-UHFFFAOYSA-N,GC-MACCS,0.273,0.564
JXDYKVIHCLTXOP-UHFFFAOYSA-N,GC-MACCS,0.167,0.319
GLDQAMYCGOIJDV-UHFFFAOYSA-N,GC-MACCS,0.182,0.471
RWCCWEUUXYIKHB-UHFFFAOYSA-N,GC-MACCS,0.255,1.024
FCMRHMPITHLLLA-UHFFFAOYSA-N,GC-MACCS,0.356,0.558
QCXJEYYXVJIFCE-UHFFFAOYSA-N,GC-MACCS,0.333,0.259
AEKQNAANFVOBCU-UHFFFAOYSA-N,GC-MACCS,0.236,0.83
UHCUBOJGMLASBY-UHFFFAOYSA-N,GC-MACCS,0.178,0.797
DFPAKSUCGFBDDF-UHFFFAOYSA-N,GC-MACCS,0.267,0.352
WWWFHFGUOIQNJC-UHFFFAOYSA-N,GC-MACCS,0.409,0.454
MXOAEAUPQDYUQM-UHFFFAOYSA-N,GC-MACCS,0.409,0.743
HNDVDQJCIGZPNO-RXMQYKEDSA-N,GC-MACCS,0.273,0.592
YHMYGUUIMTVXNW-UHFFFAOYSA-N,GC-MACCS,0.318,1.39
RJIWZDNTCBHXAL-UHFFFAOYSA-N,GC-MACCS,0.467,0.569
RUSAWEHOGCWOPG-UHFFFAOYSA-N,GC-MACCS,0.227,0.423
QIKYZXDTTPVVAC-UHFFFAOYSA-N,GC-MACCS,0.182,0.427
SEOVTRFCIGRIMH-UHFFFAOYSA-N,GC-MACCS,0.288,3.252
JYYLQSCZISREGY-UHFFFAOYSA-N,GC-MACCS,0.164,0.528
DLURHXYXQYMPLT-UHFFFAOYSA-N,GC-MACCS,0.209,0.369
GPIUUMROPXDNRH-UHFFFAOYSA-N,GC-MACCS,0.273,0.297
IHFRMUGEILMHNU-UHFFFAOYSA-N,GC-MACCS,0.327,0.261
KUCOHFSKRZZVRO-UHFFFAOYSA-N,GC-MACCS,0.2,0.251
